Map 6.8,,,
"Employee jobs, by ward",,,
,,,Numbers
Ward,Code,Borough,Employees
,,,
CamdenTownwithPrimroseHill,00AGGF,Camden,"13,330"
Cantelowes,00AGGG,Camden,"2,748"
FortuneGreen,00AGGH,Camden,"1,987"
FrognalandFitzjohns,00AGGJ,Camden,"4,642"
GospelOak,00AGGK,Camden,"2,152"
HampsteadTown,00AGGL,Camden,"10,039"
Haverstock,00AGGM,Camden,"2,425"
Highgate,00AGGN,Camden,"2,589"
HolbornandCoventGarden,00AGGP,Camden,"98,244"
KentishTown,00AGGQ,Camden,"8,683"
Kilburn,00AGGR,Camden,"3,200"
King'sCross,00AGGS,Camden,"15,927"
Regent'sPark,00AGGT,Camden,"22,365"
StPancrasandSomersTown,00AGGU,Camden,"12,796"
SwissCottage,00AGGW,Camden,"4,476"
WestHampstead,00AGGX,Camden,"4,012"
Addiscombe,00AHGE,Croydon,"6,601"
Ashburton,00AHGF,Croydon,"1,684"
BenshamManor,00AHGG,Croydon,"1,760"
BroadGreen,00AHGH,Croydon,"12,172"
CoulsdonEast,00AHGJ,Croydon,"3,415"
CoulsdonWest,00AHGK,Croydon,"4,073"
Croham,00AHGL,Croydon,"4,489"
Fairfield,00AHGM,Croydon,"45,228"
Fieldway,00AHGN,Croydon,527
Heathfield,00AHGP,Croydon,"2,313"
Kenley,00AHGQ,Croydon,"1,928"
NewAddington,00AHGR,Croydon,"1,890"
Norbury,00AHGS,Croydon,"2,369"
Purley,00AHGT,Croydon,"5,108"
Sanderstead,00AHGU,Croydon,"1,637"
Selhurst,00AHGW,Croydon,"6,514"
SelsdonandBallards,00AHGX,Croydon,"2,260"
Shirley,00AHGY,Croydon,"1,728"
SouthNorwood,00AHGZ,Croydon,"2,395"
ThorntonHeath,00AHHA,Croydon,"2,185"
UpperNorwood,00AHHB,Croydon,"2,612"
Waddon,00AHHC,Croydon,"6,751"
WestThornton,00AHHD,Croydon,"8,081"
Woodside,00AHHE,Croydon,"1,423"
ActonCentral,00AJGC,Ealing,"3,117"
Cleveland,00AJGD,Ealing,"1,554"
DormersWells,00AJGE,Ealing,"1,538"
EalingBroadway,00AJGF,Ealing,"12,964"
EalingCommon,00AJGG,Ealing,"3,356"
EastActon,00AJGH,Ealing,"20,312"
Elthorne,00AJGJ,Ealing,"3,979"
GreenfordBroadway,00AJGK,Ealing,"3,790"
GreenfordGreen,00AJGL,Ealing,"8,467"
HangerHill,00AJGM,Ealing,"7,976"
Hobbayne,00AJGN,Ealing,"2,546"
LadyMargaret,00AJGP,Ealing,825
Northfield,00AJGQ,Ealing,"1,760"
NorthGreenford,00AJGR,Ealing,"1,730"
NortholtMandeville,00AJGS,Ealing,"3,113"
NortholtWestEnd,00AJGT,Ealing,"1,052"
NorwoodGreen,00AJGU,Ealing,"11,195"
Perivale,00AJGW,Ealing,"6,497"
SouthActon,00AJGX,Ealing,"5,953"
SouthallBroadway,00AJGY,Ealing,"3,844"
SouthallGreen,00AJGZ,Ealing,"3,914"
Southfield,00AJHA,Ealing,"3,725"
Walpole,00AJHB,Ealing,"5,681"
Bowes,00AKGL,Enfield,"1,142"
BushHillPark,00AKGM,Enfield,"1,985"
Chase,00AKGN,Enfield,"3,146"
Cockfosters,00AKGP,Enfield,"6,498"
EdmontonGreen,00AKGQ,Enfield,"5,666"
EnfieldHighway,00AKGR,Enfield,"7,906"
EnfieldLock,00AKGS,Enfield,"2,944"
Grange,00AKGT,Enfield,"6,281"
Haselbury,00AKGU,Enfield,"1,860"
Highlands,00AKGW,Enfield,"5,554"
Jubilee,00AKGX,Enfield,"2,075"
LowerEdmonton,00AKGY,Enfield,"1,716"
PalmersGreen,00AKGZ,Enfield,"3,417"
PondersEnd,00AKHA,Enfield,"6,449"
Southbury,00AKHB,Enfield,"10,703"
Southgate,00AKHC,Enfield,"5,391"
SouthgateGreen,00AKHD,Enfield,"2,439"
Town,00AKHE,Enfield,"4,515"
TurkeyStreet,00AKHF,Enfield,"1,221"
UpperEdmonton,00AKHG,Enfield,"7,279"
WinchmoreHill,00AKHH,Enfield,"3,246"
AbbeyWood,00ALGP,Greenwich,"1,663"
BlackheathWestcombe,00ALGQ,Greenwich,"2,299"
Charlton,00ALGR,Greenwich,"2,482"
ColdharbourandNewEltham,00ALGS,Greenwich,"1,216"
ElthamNorth,00ALGT,Greenwich,"3,211"
ElthamSouth,00ALGU,Greenwich,"4,902"
ElthamWest,00ALGW,Greenwich,"1,361"
Glyndon,00ALGX,Greenwich,"2,109"
GreenwichWest,00ALGY,Greenwich,"6,749"
KidbrookewithHornfair,00ALGZ,Greenwich,"1,307"
MiddleParkandSutcliffe,00ALHA,Greenwich,"1,954"
Peninsula,00ALHB,Greenwich,"13,860"
