Docking Station Unique Name,Village Name,Terminal Location Easting X co-ordinate ,Terminal Location Y co-ordinate (Face A/B),Max docking points
Eaton Gate,Belgravia,528204.64,178860.97,17
Eaton Square,Belgravia,528454.85,179132.12,21
Grosvenor Crescent,Belgravia,528282.44,179662.78,16
Eccleston Place,Victoria,528689.88,178849.45,19
Abbey Orchard Street,Westminster,529755.52,179341.07,28
Alderney Street,Pimlico,529184.31,178206.2,14
Winsland Street,Paddington,526692.36,181339.58,15
South Wharf Road,Paddington,526668.47,181400.78,16
North Wharf Road,Paddington,526606.98,181542.44,25
Porchester Place,Paddington,527414.36,181131.29,16
Princes Square,Bayswater,525600.85,180946.27,16
Bayswater Road,Hyde Park,526789.06,180791.63,16
Kensington Gore,Knightsbridge,526515.02,179627.42,23
Montpelier Street,Knightsbridge,527437.25,179366.83,16
Orsett Terrace,Bayswater,526118.3,181453.46,15
Westbourne Grove,Bayswater,525672.29,181175.1,16
Shoreditch Park,Hoxton,532824.63,183417.17,30
Windsor Terrace,Hoxton,532350.41,182860.8,24
Murray Grove ,Hoxton,532597.78,183060.43,27
East Road,Hoxton,532765.36,182818.1,27
New Inn Yard,Shoreditch,533347.02,182371.93,20
Falkirk Street,Hoxton,533379.78,183087.62,26
Fanshaw Street,Hoxton,533047.65,182921.6,34
Leonard Circus ,Shoreditch,532986.42,182381.31,22
Christopher Street ,Liverpool Street,532984.81,182001.53,32
Sun Street,Liverpool Street,533036.68,181861.94,26
Wenlock Road ,Hoxton,532311.64,183064.25,28
Shoreditch High Street,Shoreditch,533419.11,182579.78,26
Calshot Street ,King's Cross,530703.8,183063.65,24
Rodney Street,Angel,530892.74,183113.88,30
River Street ,Clerkenwell,531202.52,182832.02,19
Old Street Station,St. Luke's,532702.7,182488.5,37
Finsbury Library ,Finsbury,531603.01,182570.25,29
Sadlers Sports Centre,Finsbury,531941.91,182373.28,17
Farringdon Lane,Clerkenwell,531331.83,182207.37,16
Bunhill Row,Moorgate,532619.6,181944.7,30
Clerkenwell Green,Clerkenwell,531584.48,182184.98,21
Finsbury Leisure Centre,St. Luke's,532158.64,182505.71,16
Great Percy Street,Clerkenwell,530821.02,182794.61,23
Tysoe Street,Clerkenwell,531259.84,182530.82,20
Berry Street,Clerkenwell,531912.73,182148.2,41
Hardwick Street,Clerkenwell,531338.27,182688.56,16
Bath Street,St. Luke's,532538.4,182502.8,18
Baldwin Street,St. Luke's,532695,182632.9,21
Margery Street ,Clerkenwell,531039.1,182542.5,19
St. John Street,Finsbury,531568.7,182752.1,18
Claremont Square,Angel,531199.2,183110.5,18
Torrens Street,Angel,531505.2,183177.73,19
Graham Street,Angel,531885.3,183239,26
Liverpool Road (N1 Centre),Angel,531393.7,183431.3,24
Cloudesley Road,Angel,531252.73,183416.66,16
Roscoe Street,St. Luke's,532263.4,182168.6,16
West Cromwell Road,Earl's Court,525173.73,178736.49,24
Turquoise Island,Notting Hill,524939.88,181021.93,21
Chepstow Villas,Notting Hill,524896.54,180778.45,17
Pembridge Villas,Notting Hill,525179.06,180668.3,16
Notting Hill Gate Station,Notting Hill,525262.07,180478.32,16
Palace Gardens Terrace,Notting Hill,525446.83,180399.05,19
Vicarage Gate,Kensington,525542.52,179969.49,18
Phillimore Gardens,Kensington,525207.07,179391.86,37
Argyll Road,Kensington,525351.92,179483.81,19
Abingdon Villas,Kensington,525235.96,179145.61,17
Lexham Gardens,Kensington,525608.84,178985.58,18
Nevern Place,Earl's Court,525419.72,178700.14,20
Trebovir Road,Earl's Court,525328.5,178420.86,18
Penywern Road,Earl's Court,525590.34,178509.69,17
Wright's Lane,Kensington,525517.64,179487.53,37
Derry Street,Kensington,525626.45,179597.82,18
Queen's Gate (North),Kensington,526405.85,179579.5,19
Gloucester Road Station,South Kensington,526256.44,178814.57,15
Queen's Gate (Central),South Kensington,526530.45,178797.11,31
Old Brompton Road,South Kensington,526368.13,178456.82,16
Seville Street,Knightsbridge,527861.67,179708.09,27
Natural History Museum,South Kensington,526501.98,178977.26,42
Sloane Avenue,Knightsbridge,527284.91,178728.84,30
Denyer Street,Knightsbridge,527477.72,178778.08,30
Cadogan Place,Knightsbridge,527960.38,178908.3,34
Chelsea Green,Chelsea,527389.8,178451.03,29
Royal Avenue,Chelsea,527653.88,178372.09,20
St. Luke's Church,Chelsea,527134.93,178339.16,20
Gloucester Road (North),Kensington,526165.34,179228.37,16
Queen's Gate (South),South Kensington,526555.34,178632.18,25
Emperor's Gate,South Kensington,526070.94,178940.89,13
De Vere Gardens,Kensington,526075.29,179650.36,16
Holy Trinity Brompton,Knightsbridge,527203.19,179157.56,16
Sumner Place,South Kensington,526886.31,178499.35,19
Gloucester Road (Central),South Kensington,526207.25,179066.74,19
Flood Street,Chelsea,527369.84,178156.66,18
Ilchester Place,Kensington,524844.09,179509.41,24
Bramham Gardens,Earl's Court,525731.42,178354.02,14
Collingham Gardens,Earl's Court,525980.1,178521.74,14
Kensington Olympia Station,Olympia,524383.68,179210.4,25
Knaresborough Place,Earl's Court,525707.33,178739.31,17
Belvedere Road,South Bank,530941.4,180262.54,39
Baylis Road,Waterloo,531231.55,179748.28,18
Kennington Lane Rail Bridge,Vauxhall,530456.13,178047.92,19
Vauxhall Cross,Vauxhall,530320.05,177997,17
Kennington Road Post Office,Oval,531280.47,177896.16,18
Kennington Cross,Kennington,531216.31,178356.44,16
Walnut Tree Walk,Vauxhall,531231.91,178884.98,16
Lambeth North Station,Waterloo,531145.7,179489.69,20
Kennington Lane Tesco,Vauxhall,530915.77,178108.3,13
Black Prince Road,Vauxhall,530830.63,178561.01,19
Stamford Street,South Bank,531156.74,180205.31,27
Cotton Garden Estate,Kennington,531565.98,178567.74,24
Lambeth Road,Vauxhall,530745.36,179005.39,18
Lollard Street,Vauxhall,530962.17,178788.37,16
Sancroft Street,Vauxhall,530956.46,178409.7,24
Concert Hall Approach,South Bank,530865.79,180140.84,28
Jubilee Gardens,South Bank,530816.89,180092.77,30
Black Lion Gate,Kensington Gardens,525854.15,180554.1,24
Palace Gate,Kensington Gardens,526114.73,179685.29,16
Cumberland Gate,Hyde Park,527634.48,180844.45,20
Speakers' Corner,Hyde Park,527733.47,180856.79,45
Hyde Park Corner,Hyde Park,528254.85,179858.52,28
London Zoo Car Park,The Regent's Park,528391.59,183623.53,32
The Tennis Courts,The Regent's Park,528196.4,182332.8,16
Poured Lines,Bankside,531741.25,180345.48,31
New Globe Walk,Bankside,532203.97,180434.55,19
Park Street,Bankside,532463.89,180284.3,16
Hop Exchange,The Borough,532535.83,180136.32,36
Union Street,The Borough,532071.91,180019.73,17
Tooley Street,Bermondsey,533382.53,180032.3,17
Tanner Street,Bermondsey,533461.67,179717.59,19
Borough High Street,The Borough,532356.33,179694.02,21
Webber Street ,Southwark,531831.15,179680.23,16
Milroy Walk,South Bank,531524.53,180401.24,30
Bankside Mix,Bankside,531948.57,180253.48,33
LSBU (Borough Road),Elephant & Castle,531764.47,179461.63,35
New Kent Road,The Borough,532485.73,179000.94,16
